name,description,source,github_url,website,github_stars,github_forks,star_velocity,momentum_score,language,topics,founded_year,funding_total,location,ph_upvotes,ph_comments,launch_date,combined_momentum
JerryZLiu,"Generate a timeline of your day, automatically",GitHub,https://github.com/JerryZLiu/Dayflow,,3769,157,107.68571428571428,5967.5,Swift,"gemini, lmstudio, ollama, productivity, productivity-tools, swift, time, timeline",2025,0,,,,,5967.5
vicinaehq,"A focused launcher for your desktop — native, fast, extensible",GitHub,https://github.com/vicinaehq/vicinae,https://docs.vicinae.com,3324,76,36.130434782608695,5138.0,C++,"app-launcher, linux, nodejs, poweruser, productivity, qt, raycast, react",2025,0,,,,,5138.0
EdoStra,Practical marketing resources to get the first 10/100/1000 users for your SaaS/App/Startup,GitHub,https://github.com/EdoStra/Marketing-for-Founders,,2277,247,14.055555555555555,3909.5,,"collection, educational, growth, list, marketing, resources, saas, startup",2025,0,,,,,3909.5
deta,"Personal AI Notebooks. Organize files & webpages and generate notes from them. Open source, local & open data, open model choice (incl. local).",GitHub,https://github.com/deta/surf,https://deta.surf,2049,131,256.125,3335.5,TypeScript,"claude, deepseek, gemma, knowledge-base, knowledge-management, llm, local, local-llm, ollama, openai, productivity, rust, svelte, typescript",2025,0,,,,,3335.5
Pika 1.0,Idea-to-video platform,Product Hunt,,https://pika.art,0,0,0.0,0.0,,"ai, video, creativity",2023,0,,4100.0,320.0,2023-11-28,2370.0
v0 by Vercel,Generate UI with AI,Product Hunt,,https://v0.dev,0,0,0.0,0.0,,"ai, developer tools, design",2023,0,,3200.0,250.0,2023-10-15,1850.0
wshobson,A collection of production-ready slash commands for Claude Code,GitHub,https://github.com/wshobson/commands,https://sethhobson.com,1027,147,7.551470588235294,1834.5,,"ai, ai-agents, anthropic, automation, claude, claude-code, claude-commands, claudecode, claudecode-config, orchestration, productivity, slash-command, slash-commands, slashcommands, workflows",2025,0,,,,,1834.5
Cursor AI,AI-first code editor,Product Hunt,,https://cursor.sh,0,0,0.0,0.0,,"developer tools, ai, coding",2024,0,,2500.0,180.0,2024-01-15,1430.0
qdhenry,"Professional slash commands for Claude Code that provide   structured workflows for software development tasks including   code review, feature creation, security auditing, and architectural analysis.",GitHub,https://github.com/qdhenry/Claude-Command-Suite,https://docs.anthropic.com/en/docs/claude-code,787,77,5.744525547445256,1334.5,Shell,"ai-tools, anthropic, claude-code, cli-tools, code-review, developer-tools, productivity, security-audit, slash-commands, software-development, workflow-automation",2025,0,,,,,1334.5
Perplexity Pages,Turn research into beautiful content,Product Hunt,,https://perplexity.ai,0,0,0.0,0.0,,"ai, research, content",2024,0,,2200.0,145.0,2024-03-10,1245.0
dohsimpson,TaskTrove is a modern Todo Manager that is fully self-hostable.,GitHub,https://github.com/dohsimpson/TaskTrove,https://tasktrove.io,688,10,6.254545454545455,1052.0,TypeScript,"api, calendar, docker, kanban, productivity, project-management, react, self-hosted, todo, todoapp, todolist",2025,0,,,,,1052.0
Supermaven,Fastest AI code completion,Product Hunt,,https://supermaven.com,0,0,0.0,0.0,,"ai, developer tools, productivity",2024,0,,1800.0,120.0,2024-02-01,1020.0
danielmiessler,Personal AI Infrastructure for upgrading humans.,GitHub,https://github.com/danielmiessler/Personal_AI_Infrastructure,,502,101,10.04,955.0,JavaScript,"ai, augmentation, productivity",2025,0,,,,,955.0
unhappychoice,A CLI code-typing game that turns your source code into typing challenges,GitHub,https://github.com/unhappychoice/gittype,,589,14,9.655737704918034,911.5,Rust,"cli-game, cli-tool, code-practice, coding-skills, gamification, learning-tool, productivity, programming, ratatui, rust, terminal-game, touch-typing, tree-sitter, typing-game, typing-practice, typing-test, typing-trainer, typingtest",2025,0,,,,,911.5
AnoyRC,All-in-one Productivity App,GitHub,https://github.com/AnoyRC/priospace,https://prio.space/home,528,50,5.28,892.0,JavaScript,"ios, mac, open-source, private, productivity, website, windows",2025,0,,,,,892.0
ysm-dev,📥 cpdown - Copy to clipboard any webpage content/youtube subtitle as clean markdown with one click or shortcut,GitHub,https://github.com/ysm-dev/cpdown,https://chromewebstore.google.com/detail/cpdown/knnaflplggjdedobhbidojmmnocfbopf,485,22,3.012422360248447,771.5,TypeScript,"extension, llm, markdown, productivity, react, subtitle, wxt, youtube",2025,0,,,,,771.5
