name,repo_name,description,github_url,homepage,stars,forks,watchers,open_issues,language,topics,created_at,updated_at,last_push,momentum_score,days_old,star_velocity,fork_ratio
JerryZLiu,Dayflow,"Generate a timeline of your day, automatically",https://github.com/JerryZLiu/Dayflow,,3769,157,3769,12,Swift,"gemini, lmstudio, ollama, productivity, productivity-tools, swift, time, timeline",2025-09-23 01:58:21+00:00,2025-10-28T17:52:55Z,2025-10-24T04:09:03Z,5967.5,35,107.68571428571428,0.04165561156805519
vicinaehq,vicinae,"A focused launcher for your desktop — native, fast, extensible",https://github.com/vicinaehq/vicinae,https://docs.vicinae.com,3324,76,3324,63,C++,"app-launcher, linux, nodejs, poweruser, productivity, qt, raycast, react",2025-07-28 03:49:03+00:00,2025-10-28T17:30:07Z,2025-10-28T16:25:41Z,5138.0,92,36.130434782608695,0.02286401925391095
EdoStra,Marketing-for-Founders,Practical marketing resources to get the first 10/100/1000 users for your SaaS/App/Startup,https://github.com/EdoStra/Marketing-for-Founders,,2277,247,2277,5,,"collection, educational, growth, list, marketing, resources, saas, startup",2025-05-19 13:29:04+00:00,2025-10-28T18:02:38Z,2025-10-22T17:09:22Z,3909.5,162,14.055555555555555,0.10847606499780413
deta,surf,"Personal AI Notebooks. Organize files & webpages and generate notes from them. Open source, local & open data, open model choice (incl. local).",https://github.com/deta/surf,https://deta.surf,2049,131,2049,19,TypeScript,"claude, deepseek, gemma, knowledge-base, knowledge-management, llm, local, local-llm, ollama, openai, productivity, rust, svelte, typescript",2025-10-20 15:09:57+00:00,2025-10-28T18:23:17Z,2025-10-28T16:20:50Z,3335.5,8,256.125,0.063933626159102
wshobson,commands,A collection of production-ready slash commands for Claude Code,https://github.com/wshobson/commands,https://sethhobson.com,1027,147,1027,2,,"ai, ai-agents, anthropic, automation, claude, claude-code, claude-commands, claudecode, claudecode-config, orchestration, productivity, slash-command, slash-commands, slashcommands, workflows",2025-06-14 16:43:24+00:00,2025-10-28T18:21:08Z,2025-10-12T00:45:28Z,1834.5,136,7.551470588235294,0.14313534566699124
qdhenry,Claude-Command-Suite,"Professional slash commands for Claude Code that provide   structured workflows for software development tasks including   code review, feature creation, security auditing, and architectural analysis.",https://github.com/qdhenry/Claude-Command-Suite,https://docs.anthropic.com/en/docs/claude-code,787,77,787,1,Shell,"ai-tools, anthropic, claude-code, cli-tools, code-review, developer-tools, productivity, security-audit, slash-commands, software-development, workflow-automation",2025-06-13 01:49:01+00:00,2025-10-28T17:54:18Z,2025-10-19T17:17:39Z,1334.5,137,5.744525547445256,0.09783989834815757
dohsimpson,TaskTrove,TaskTrove is a modern Todo Manager that is fully self-hostable.,https://github.com/dohsimpson/TaskTrove,https://tasktrove.io,688,10,688,14,TypeScript,"api, calendar, docker, kanban, productivity, project-management, react, self-hosted, todo, todoapp, todolist",2025-07-10 02:10:59+00:00,2025-10-28T16:51:24Z,2025-10-28T04:42:03Z,1052.0,110,6.254545454545455,0.014534883720930232
danielmiessler,Personal_AI_Infrastructure,Personal AI Infrastructure for upgrading humans.,https://github.com/danielmiessler/Personal_AI_Infrastructure,,502,101,502,2,JavaScript,"ai, augmentation, productivity",2025-09-08 16:18:30+00:00,2025-10-28T15:57:56Z,2025-10-28T01:34:05Z,955.0,50,10.04,0.20119521912350596
unhappychoice,gittype,A CLI code-typing game that turns your source code into typing challenges,https://github.com/unhappychoice/gittype,,589,14,589,16,Rust,"cli-game, cli-tool, code-practice, coding-skills, gamification, learning-tool, productivity, programming, ratatui, rust, terminal-game, touch-typing, tree-sitter, typing-game, typing-practice, typing-test, typing-trainer, typingtest",2025-08-28 15:57:14+00:00,2025-10-28T12:37:38Z,2025-10-27T23:02:36Z,911.5,61,9.655737704918034,0.023769100169779286
AnoyRC,priospace,All-in-one Productivity App,https://github.com/AnoyRC/priospace,https://prio.space/home,528,50,528,8,JavaScript,"ios, mac, open-source, private, productivity, website, windows",2025-07-20 15:49:37+00:00,2025-10-22T03:31:27Z,2025-10-06T05:55:44Z,892.0,100,5.28,0.0946969696969697
